group,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
ACC,0.05268402352721944,2.8002224365414326e-15,1.1437874968578915e-27,4.357928617564234e-25,1.5626680928489171e-13,6.522624618249772e-19,4.2191928654528986e-16,1.473590303309871e-22,6.265742619088943e-27,0.011234131976701364,1.0784000351360379e-19,2.3561812751891837e-21,1.0819866665434086e-26,6.930861376333409e-10,6.145728039165102e-26,4.987839485780401e-15,1.7947789633721344e-18,5.928232756454538e-12,0.9360818430952954,2.4366611450917472e-26,9.485794128773734e-11,7.288224322820995e-16,6.979076744601227e-21,6.410078905345529e-17
BLCA,0.17264750173097862,5.871961602855889e-14,3.567293262104712e-14,0.006936170812658056,2.424851633180699e-07,1.844576139447351e-09,5.6288975018278976e-11,2.0028345166071885e-10,0.003981856949972298,2.2824344816849493e-14,1.205214616594005e-09,9.801384758315466e-15,0.00023812147353993604,3.7086257336963765e-07,0.010984361264757702,6.023552310316084e-17,0.0007271017463505912,3.802896800614736e-16,1.5168403446338998e-13,0.7448595214638465,7.78005979048922e-20,2.2838125091066274e-07,2.5930879138089078e-20,0.05962451893947124
BRCA,0.30740738136363993,3.163014255454674e-11,0.3741961050369522,0.00014692715755975443,1.4350752199776519e-07,0.0046284192169989665,4.921868608274252e-09,0.0014009708328198887,0.012603470325182286,0.0315982341832415,0.16885375057660595,1.765311181777039e-11,0.00017807497619042536,0.03145982147396509,0.006750858580612859,1.4012815974890123e-05,0.002045200866174931,0.0006914495930801201,0.0045399364935470934,0.003804348902137974,0.039080746710552124,1.6891424374401673e-05,0.002747248119951179,0.007836002159808514
CESC,0.3078481867128634,1.1443778775812173e-17,2.217589089514496e-21,2.761607708946954e-13,1.0667795889294294e-24,2.4445035164102125e-18,3.3175212705728184e-22,3.088099851619994e-09,0.4472616220505531,0.11234811806514977,9.025805095638721e-07,7.662086509956258e-19,3.520587014047919e-07,0.1198309586788932,3.746680704305303e-11,0.009517478039839563,4.860993528788129e-16,1.3616099735953709e-12,5.743351373869645e-19,0.0031923779674686687,4.238605099775248e-12,3.3523979064821337e-22,2.523355480696755e-19,2.6002601012475626e-25
CHOL,0.308643217912017,0.08564439825947107,1.1920014294904687e-06,5.3168304725765766e-09,2.3143835540597412e-11,2.9876357240062907e-09,0.09648728088153523,0.00015998733743001443,2.155241234736548e-07,0.047491405236033166,0.028371999209679578,5.456598735754449e-13,0.2412857917272178,0.15285534824160577,3.4770739391737995e-05,0.01886256867957104,1.8572048617482576e-07,0.020156884204945314,4.673755076966176e-06,5.101958225769009e-10,4.8572737221951415e-09,1.0539233694637619e-10,6.608271821991091e-08,6.123443840291321e-12
COAD,0.2712385347956604,2.4224234754234746e-10,0.0006767548766123494,0.6455795740888813,7.343277103886882e-13,7.466352857895591e-06,7.564026320136677e-08,1.708232124650307e-05,2.413694643018447e-07,0.016323527689270426,0.0008311898376025819,1.8494672731566008e-12,0.027142701224074608,0.029886861112973836,3.880370070719846e-09,0.004430907177635387,0.0037960067448159582,5.7274909594837656e-05,1.957980706823616e-15,1.2458528155172454e-06,1.055116396960802e-05,2.2792716772289453e-16,4.2280068754545643e-13,4.458645687562251e-12
ESCA,0.28417052601313214,1.1734310413550633e-11,5.297318656649008e-09,0.04378862641327492,6.688304416204473e-12,0.001972387588704649,0.01569109381864766,1.8165254678273192e-06,0.2739979390766763,0.08281709057292543,0.01000182691226838,4.457332560603865e-14,0.1165523781854276,0.03808165658680014,0.0021116151269933814,0.07306888224387081,0.01716346735581778,7.991199432170316e-09,2.3664162871892525e-14,0.0002992337876853435,0.040281445784690666,8.67033472923566e-12,2.5101507606775572e-14,8.165775198339727e-14
GBM,0.1403653366230121,3.040002860966683e-08,1.359651988430419e-23,3.6876680666641788e-22,0.8004474934510419,2.47675831313541e-20,4.501246329765876e-21,3.942282040637009e-17,2.1082561038650956e-17,0.036273514764938536,5.703408225578537e-06,3.030750220476058e-15,7.799412917663337e-22,0.013437393217888406,3.889618305824446e-06,0.0033883835364220192,9.01390085889677e-09,7.703079353756747e-05,1.1764437838810663e-09,9.20704003431191e-21,1.5281553899456052e-08,3.5493158483187354e-08,0.00600110201924522,6.047053823942085e-08
HNSC,0.2150305687675589,4.928560790021653e-07,2.772784505989088e-12,0.0010576079771085411,1.5639759221601876e-07,2.2100246509681646e-08,0.014210136541119649,2.734076215838508e-05,0.22454915950971607,0.08917281867181974,0.021300273244383314,3.301385168423024e-08,1.758335972938251e-05,0.08749573330302392,0.06846828435332725,0.1855080667985829,0.04791845971058599,0.04398575884628733,0.0001465449418681772,6.144054150504292e-07,0.0010883810960621242,1.9043496122770044e-05,2.875058757140299e-06,4.410959686610063e-08
KIRC,0.2516407020916407,0.11966870689245196,4.948442291189763e-07,1.1008494599013726e-09,4.848635166279119e-07,1.5143518401845853e-06,0.002655225814732855,2.902311558421607e-11,2.0810233793152126e-15,0.012574564101696467,0.00631408308911709,0.004614057001081495,4.444802762629737e-11,0.0007482809213932393,4.358857728448624e-07,4.0206217063574755e-09,2.000308844787292e-08,0.6015456950344287,0.0002354601471420706,5.134626928029333e-11,2.536888188642249e-08,3.378972257734676e-10,7.553849138099911e-10,2.4253862319474816e-07
KIRP,0.18628779735017273,0.7432602956315091,5.852743036466194e-09,4.6835974058422906e-06,8.34302466696011e-08,1.0534426703220956e-15,0.00018522840547423338,0.005197367764664154,0.00022776835406122271,0.019362846859518473,0.0042186992252557535,0.0004930010743558321,0.0009614186067030069,0.0029443610727548984,0.003481886979659874,0.02083110194612808,1.3176220935782395e-11,0.00628266377028736,1.4960545196733114e-05,0.002007338037883791,1.665881198084393e-11,2.370649280769488e-10,3.8873024715673434e-10,0.004238490128472293
LGG,0.03152535070946229,3.57098406262484e-11,1.0073804808636547e-30,4.699927348942292e-32,0.9616716822392314,1.1330421711816247e-23,8.019734274885469e-27,6.699731899708827e-22,1.3008530332965493e-22,0.0028443602000617707,2.889267100352078e-10,8.950473503882858e-17,3.5830021862743047e-29,1.1983911685177e-06,1.926307539729083e-24,4.097290673838416e-10,3.1427442633726378e-18,2.861593368553566e-08,7.345448019111461e-14,1.5867249644250592e-27,4.506024678291507e-12,7.245945221814141e-14,0.0039573783342279675,2.1966281320165686e-11
LIHC,0.10963074014051843,1.4678803093815505e-05,5.444021765724371e-16,1.4515816779210175e-08,7.227235065037466e-16,4.364399726050215e-12,0.8160615090594547,7.234968366754182e-10,5.989386376094466e-18,0.06352794092596038,2.7691695148918875e-17,1.3885263784299382e-20,0.00016742756399503792,0.006791733105163787,1.045809369575123e-14,5.710945117367959e-14,0.0038059487865881314,5.677184133276469e-09,1.0851138382914242e-12,2.5179108687189486e-13,3.73227520155239e-12,4.472306904622666e-16,4.628901136788417e-16,3.468745761153832e-13
LUAD,0.272650661591797,4.998325996387464e-10,0.005916900152767312,0.0006456345997090152,3.0222227118290102e-15,0.00011865479045760321,0.0028291286431852154,0.587972199563657,0.0017494605481913643,0.06351984158453432,1.757321793504555e-08,5.081696832651216e-05,0.03206843755746868,0.022960887683233698,7.550237325998897e-08,0.007312672193408781,0.0001675501783813604,0.00014162006573898483,1.3822651828430259e-05,0.001881613119530216,2.1278171640232625e-13,2.3418287872118903e-13,8.101726695023427e-16,3.871032729567535e-09
